node1_uniprot_id,node2_uniprot_id
P12830,Q04695
P12830,Q13635
P12830,P12273
P12830,P10721
P12830,Q15465
P12830,P04049
P12830,P06401
P12830,P08729
P42771,P02533
P42771,P35900
P42771,P08151
P42771,P40692
P42771,P43246
P42771,P13647
P42771,P08247
P42771,P14679
P42771,Q15465
P42771,P06401
P42771,P08729
P42771,Q13635
P42771,P08922
P42771,P01111
P42771,O75030
P42771,P04049
P42771,P16410
P42771,Q01726
P42771,Q13126
Q96KA5,P14679
Q96KA5,Q9UMX9
Q96KA5,O14746
Q96KA5,Q01726
Q6UUV9,P04049
P16410,P40692
P16410,P43246
P16410,P14679
P16410,P04637
P16410,P04626
P16410,P10721
P16410,O14746
P16410,Q9NR97
P16410,P08922
P16410,P01111
P16410,Q9NYK1
Q9NQC7,P04637
P09104,P02533
P09104,P35900
P09104,P13647
P09104,P08247
P09104,P04637
P09104,P04626
P09104,P10721
P09104,P06401
P09104,P08729
P04626,P02533
P04626,P35900
P04626,P08151
P04626,P40692
P04626,P43246
P04626,Q99835
P04626,P13647
P04626,P08247
P04626,P14679
P04626,P08922
P04626,P04049
P04626,Q9NYK1
P04626,Q13635
P04626,Q04695
P04626,Q15465
P04626,P12273
P04626,P08729
P04626,P01111
P04626,P06401
Q9BPY3,Q86Y26
P08151,P02533
P08151,Q04695
P08151,P10721
P08151,P04637
P08151,Q13635
P08151,Q15465
P08151,Q99835
P08151,Q9UMX1
P10721,P02533
P10721,P35900
P10721,P40692
P10721,P43246
P10721,Q99835
P10721,P08247
P10721,P14679
P10721,P04637
P10721,Q13635
P10721,Q15465
P10721,P06401
P10721,O14746
P10721,P08729
P10721,Q01726
P10721,O75030
P10721,P01111
P04264,P13647
P04264,P08729
P04264,P19012
P04264,Q7Z794
P02533,P08247
P02533,P35900
P02533,Q15323
P02533,Q15465
P02533,P04637
P02533,P19012
P02533,P06401
P02533,Q04695
P02533,P13647
P19012,P35900
P19012,Q15323
P19012,P13647
P19012,Q8WV24
P19012,Q04695
Q04695,P35900
Q04695,Q15323
Q04695,P13647
Q04695,P04637
Q04695,P08729
Q04695,P06401
P35900,P01111
P35900,Q15323
P35900,P43246
P35900,P35408
P35900,P40692
P35900,P06401
P35900,P04637
P35900,P12273
P35900,P08247
Q15323,Q07283
P13647,Q15465
P13647,P08922
P13647,Q86Y26
P13647,Q7Z794
P13647,P08729
P13647,P35408
P13647,P12273
P13647,P08247
P13647,P04637
P13647,P06401
P08729,P40692
P08729,P43246
P08729,P08247
P08729,P04637
P08729,P12273
P08729,P35408
P08729,P06401
P08729,P01111
P08729,Q7Z794
P08729,Q86Y26
P08729,P08922
Q01726,P14679
